phone,gender,age,state,region,income,incomeGroup,maritalStatus,employment,education,ethnicity,hispanic,product_purchased
559325678,Female,63,ILLINOIS,Midwest,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Employed full time,Bachelor's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",GoPro Hero
542751930,Male,39,NEW JERSEY,Northeast,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed part time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",LG Smart TV
577820467,Male,59,PENNSYLVANIA,Northeast,"$65,000 to $69,999","$50,000 to $74,999",Married,Disabled,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Dell XPS
578612644,Male,35,NEW JERSEY,Northeast,"$200,000 to $249,999","$150,000 or more",Married,Employed full time,Bachelor's degree,Asian - Filipino,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
516167701,Female,50,ILLINOIS,Midwest,"$250,000 and above","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Autodesk AutoCAD
546421712,Female,58,FLORIDA,South,"$80,000 to $84,999","$75,000 to $99,999",Married,Employed full time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Office
533822837,Male,40,WASHINGTON,West,"$250,000 and above","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Surface
591526855,Male,38,FLORIDA,South,"$100,000 to $124,999","$100,000 to $124,999","Single, never married",Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Philips Hue Lights
578462405,Male,61,TEXAS,South,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Versa Smartwatch
588512916,Female,61,NEW YORK,Northeast,"$125,000 to $149,999","$125,000 to $149,999","Single, never married",Employed full time,Associate's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Dyson Vacuum Cleaner
552120080,Female,46,NEW YORK,Northeast,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch
527405588,Female,56,GEORGIA,South,"$150,000 to $174,999","$150,000 or more",Married,Retired,Bachelor's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
587757417,Male,40,ARIZONA,West,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed full time,Master's or professional degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
522277449,Male,29,TEXAS,South,"$75,000 to $79,999","$75,000 to $99,999","Single, never married",Employed full time,Bachelor's degree,"Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Nest Thermostat
595445213,Female,48,GEORGIA,South,"$150,000 to $174,999","$150,000 or more",Married,Retired,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Sony PlayStation
537475078,Female,54,MINNESOTA,Midwest,"$70,000 to $74,999","$50,000 to $74,999","Separated, divorced or widowed",Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Action Camera
553791004,Female,39,MINNESOTA,Midwest,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Xbox
581111111,Female,51,CALIFORNIA,West,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Master's or professional degree,Asian - Chinese,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
561639504,Male,56,CALIFORNIA,West,"$75,000 to $79,999","$75,000 to $99,999","Single, never married",Employed full time,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",LG Washing Machine
519391341,Female,63,MONTANA,West,"$75,000 to $79,999","$75,000 to $99,999",Married,Employed part time,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Canon EOS
516886512,Female,30,MARYLAND,South,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",HP Pavilion
542757138,Female,30,CALIFORNIA,West,"$150,000 to $174,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Versa Smartwatch
532594067,Female,53,FLORIDA,South,"$75,000 to $79,999","$75,000 to $99,999","Single, never married",Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Xbox
526588207,Male,53,FLORIDA,South,"$125,000 to $149,999","$125,000 to $149,999",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Nintendo Switch Pro Controller
599260139,Male,53,VIRGINIA,South,"$250,000 and above","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"Yes, Puerto Rican",Amazon Kindle
535933325,Female,36,NEW YORK,Northeast,"$75,000 to $79,999","$75,000 to $99,999","Single, never married",Employed full time,"Completed some college, but no degree",White,"Yes, another Hispanic, Latino, or Spanish origin - Spain",HP Pavilion
556116408,Male,44,CALIFORNIA,West,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Full-time homemaker,High school graduate,Some other race,"Yes, another Hispanic, Latino, or Spanish origin - Other",Lenovo ThinkPad
557216734,Female,39,MASSACHUSETTS,Northeast,"$100,000 to $124,999","$100,000 to $124,999",Married,Employed part time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
545351939,Male,42,FLORIDA,South,"$95,000 to $99,999","$75,000 to $99,999",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
564112202,Female,30,MISSISSIPPI,South,"$75,000 to $79,999","$75,000 to $99,999",Married,Employed full time,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",Xbox
523888888,Female,42,CALIFORNIA,West,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Temporarily unemployed,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Adobe Photoshop
567433130,Female,49,OKLAHOMA,South,"$90,000 to $94,999","$75,000 to $99,999",Married,Full-time homemaker,"Completed some college, but no degree",White,"Yes, another Hispanic, Latino, or Spanish origin - Other",GoPro Action Camera
518377856,Male,55,COLORADO,West,"$150,000 to $174,999","$150,000 or more",Married,Employed part time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",Fitbit Charge
564710142,Male,62,VIRGINIA,South,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Autodesk AutoCAD
505579830,Female,49,OHIO,Midwest,"$85,000 to $89,999","$75,000 to $99,999","Separated, divorced or widowed",Employed full time,Associate's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Microsoft Xbox Controller
574679892,Female,36,NEBRASKA,Midwest,"$100,000 to $124,999","$100,000 to $124,999",Married,Full-time homemaker,"Completed some college, but no degree",White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Hero
564368826,Female,42,MASSACHUSETTS,Northeast,"$100,000 to $124,999","$100,000 to $124,999","Single, never married",Employed full time,Bachelor's degree,White,"No, not of Hispanic, Latino, or Spanish origin",Canon EOS
537359470,Female,29,NEW YORK,Northeast,"$70,000 to $74,999","$50,000 to $74,999",Married,Employed full time,Bachelor's degree,White,"Yes, Puerto Rican",Amazon Kindle
547687117,Female,41,OHIO,Midwest,"$70,000 to $74,999","$50,000 to $74,999","Single, never married",Employed full time,"Completed some college, but no degree","Black, or African American","No, not of Hispanic, Latino, or Spanish origin",Google Pixel
589243589,Female,61,KANSAS,Midwest,"$75,000 to $79,999","$75,000 to $99,999",Married,Employed full time,High school graduate,White,"No, not of Hispanic, Latino, or Spanish origin",Amazon Echo
598038791,Male,42,CALIFORNIA,West,"$175,000 to $199,999","$150,000 or more",Married,Employed full time,Master's or professional degree,White,"No, not of Hispanic, Latino, or Spanish origin",GoPro Hero
